home_team,away_team,sport_title,commence_time,bookmaker_titles
Buffalo Bills,Tennessee Titans,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars']"
Cleveland Browns,Cincinnati Bengals,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Minnesota Vikings,Detroit Lions,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars']"
Green Bay Packers,Houston Texans,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Indianapolis Colts,Miami Dolphins,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Giants,Philadelphia Eagles,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Washington Commanders,Carolina Panthers,NFL,2024-10-20T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,Las Vegas Raiders,NFL,2024-10-20T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
San Francisco 49ers,Kansas City Chiefs,NFL,2024-10-20T20:25:00Z,"['FanDuel', 'Caesars', 'DraftKings', 'BetUS', 'Bovada']"
Pittsburgh Steelers,New York Jets,NFL,2024-10-21T00:20:00Z,"['DraftKings', 'Caesars']"
Tampa Bay Buccaneers,Baltimore Ravens,NFL,2024-10-22T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Arizona Cardinals,Los Angeles Chargers,NFL,2024-10-22T01:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,Minnesota Vikings,NFL,2024-10-25T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Miami Dolphins,Arizona Cardinals,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tampa Bay Buccaneers,Atlanta Falcons,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Cleveland Browns,Baltimore Ravens,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Washington Commanders,Chicago Bears,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars']"
Detroit Lions,Tennessee Titans,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars']"
Jacksonville Jaguars,Green Bay Packers,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Houston Texans,Indianapolis Colts,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New England Patriots,New York Jets,NFL,2024-10-27T17:00:00Z,"['DraftKings', 'Caesars']"
Seattle Seahawks,Buffalo Bills,NFL,2024-10-27T20:05:00Z,"['DraftKings', 'Caesars']"
Los Angeles Chargers,New Orleans Saints,NFL,2024-10-27T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Denver Broncos,Carolina Panthers,NFL,2024-10-27T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Cincinnati Bengals,Philadelphia Eagles,NFL,2024-10-27T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
